Data,Seed,TestProportion,CandidateProportion,SelectorType,ModelType,UniqueErrorsInput,n_estimators,regularization,RashomonThresholdType,RashomonThreshold,Type,Partition,Time,Memory,JobName,Output
Bar7,1,0.2,0.8,TreeEnsembleQBCFunction,TreeFarmsFunction,0,100,0.01,Adder,0.02,Classification,cpu-g2-mem2x,2-11:59:00,100G,1B7_DA0.02,Bar7/TreeFarms/Raw/1B7_DA0.02.pkl
Bar7,1,0.2,0.8,TreeEnsembleQBCFunction,TreeFarmsFunction,1,100,0.01,Adder,0.02,Classification,cpu-g2-mem2x,2-11:59:00,100G,1B7_UA0.02,Bar7/TreeFarms/Raw/1B7_UA0.02.pkl
Bar7,4,0.2,0.8,TreeEnsembleQBCFunction,TreeFarmsFunction,0,100,0.01,Adder,0.02,Classification,cpu-g2-mem2x,2-11:59:00,100G,4B7_DA0.02,Bar7/TreeFarms/Raw/4B7_DA0.02.pkl
Bar7,30,0.2,0.8,TreeEnsembleQBCFunction,TreeFarmsFunction,0,100,0.01,Adder,0.02,Classification,cpu-g2-mem2x,2-11:59:00,100G,30B7_DA0.02,Bar7/TreeFarms/Raw/30B7_DA0.02.pkl
Bar7,38,0.2,0.8,TreeEnsembleQBCFunction,TreeFarmsFunction,0,100,0.01,Adder,0.02,Classification,cpu-g2-mem2x,2-11:59:00,100G,38B7_DA0.02,Bar7/TreeFarms/Raw/38B7_DA0.02.pkl
Bar7,46,0.2,0.8,TreeEnsembleQBCFunction,TreeFarmsFunction,1,100,0.01,Adder,0.02,Classification,cpu-g2-mem2x,2-11:59:00,100G,46B7_UA0.02,Bar7/TreeFarms/Raw/46B7_UA0.02.pkl
Bar7,52,0.2,0.8,TreeEnsembleQBCFunction,TreeFarmsFunction,1,100,0.01,Adder,0.02,Classification,cpu-g2-mem2x,2-11:59:00,100G,52B7_UA0.02,Bar7/TreeFarms/Raw/52B7_UA0.02.pkl
Bar7,57,0.2,0.8,TreeEnsembleQBCFunction,TreeFarmsFunction,0,100,0.01,Adder,0.02,Classification,cpu-g2-mem2x,2-11:59:00,100G,57B7_DA0.02,Bar7/TreeFarms/Raw/57B7_DA0.02.pkl
Bar7,68,0.2,0.8,TreeEnsembleQBCFunction,TreeFarmsFunction,1,100,0.01,Adder,0.02,Classification,cpu-g2-mem2x,2-11:59:00,100G,68B7_UA0.02,Bar7/TreeFarms/Raw/68B7_UA0.02.pkl
Bar7,73,0.2,0.8,TreeEnsembleQBCFunction,TreeFarmsFunction,1,100,0.01,Adder,0.02,Classification,cpu-g2-mem2x,2-11:59:00,100G,73B7_UA0.02,Bar7/TreeFarms/Raw/73B7_UA0.02.pkl
Bar7,76,0.2,0.8,TreeEnsembleQBCFunction,TreeFarmsFunction,0,100,0.01,Adder,0.02,Classification,cpu-g2-mem2x,2-11:59:00,100G,76B7_DA0.02,Bar7/TreeFarms/Raw/76B7_DA0.02.pkl
Bar7,80,0.2,0.8,TreeEnsembleQBCFunction,TreeFarmsFunction,1,100,0.01,Adder,0.02,Classification,cpu-g2-mem2x,2-11:59:00,100G,80B7_UA0.02,Bar7/TreeFarms/Raw/80B7_UA0.02.pkl
Bar7,82,0.2,0.8,TreeEnsembleQBCFunction,TreeFarmsFunction,0,100,0.01,Adder,0.02,Classification,cpu-g2-mem2x,2-11:59:00,100G,82B7_DA0.02,Bar7/TreeFarms/Raw/82B7_DA0.02.pkl
Bar7,87,0.2,0.8,TreeEnsembleQBCFunction,TreeFarmsFunction,0,100,0.01,Adder,0.02,Classification,cpu-g2-mem2x,2-11:59:00,100G,87B7_DA0.02,Bar7/TreeFarms/Raw/87B7_DA0.02.pkl
Bar7,92,0.2,0.8,TreeEnsembleQBCFunction,TreeFarmsFunction,0,100,0.01,Adder,0.02,Classification,cpu-g2-mem2x,2-11:59:00,100G,92B7_DA0.02,Bar7/TreeFarms/Raw/92B7_DA0.02.pkl
Bar7,99,0.2,0.8,TreeEnsembleQBCFunction,TreeFarmsFunction,0,100,0.01,Adder,0.02,Classification,cpu-g2-mem2x,2-11:59:00,100G,99B7_DA0.02,Bar7/TreeFarms/Raw/99B7_DA0.02.pkl
