Data,Seed,TestProportion,CandidateProportion,SelectorType,ModelType,UniqueErrorsInput,n_estimators,regularization,RashomonThresholdType,RashomonThreshold,Type,Partition,Time,Memory,JobName,Output
COMPAS,0,0.2,0.8,TreeEnsembleQBCFunction,TreeFarmsFunction,0,100,0.01,Adder,0.05,Classification,largemem,2-11:59:00,200G,0CP_DA0.05,COMPAS/TreeFarms/Raw/0CP_DA0.05.pkl
COMPAS,0,0.2,0.8,TreeEnsembleQBCFunction,TreeFarmsFunction,1,100,0.01,Adder,0.05,Classification,largemem,2-11:59:00,200G,0CP_UA0.05,COMPAS/TreeFarms/Raw/0CP_UA0.05.pkl
COMPAS,1,0.2,0.8,TreeEnsembleQBCFunction,TreeFarmsFunction,0,100,0.01,Adder,0.05,Classification,largemem,2-11:59:00,200G,1CP_DA0.05,COMPAS/TreeFarms/Raw/1CP_DA0.05.pkl
COMPAS,1,0.2,0.8,TreeEnsembleQBCFunction,TreeFarmsFunction,1,100,0.01,Adder,0.05,Classification,largemem,2-11:59:00,200G,1CP_UA0.05,COMPAS/TreeFarms/Raw/1CP_UA0.05.pkl
COMPAS,2,0.2,0.8,TreeEnsembleQBCFunction,TreeFarmsFunction,0,100,0.01,Adder,0.05,Classification,largemem,2-11:59:00,200G,2CP_DA0.05,COMPAS/TreeFarms/Raw/2CP_DA0.05.pkl
COMPAS,2,0.2,0.8,TreeEnsembleQBCFunction,TreeFarmsFunction,1,100,0.01,Adder,0.05,Classification,largemem,2-11:59:00,200G,2CP_UA0.05,COMPAS/TreeFarms/Raw/2CP_UA0.05.pkl
COMPAS,3,0.2,0.8,TreeEnsembleQBCFunction,TreeFarmsFunction,0,100,0.01,Adder,0.05,Classification,largemem,2-11:59:00,200G,3CP_DA0.05,COMPAS/TreeFarms/Raw/3CP_DA0.05.pkl
COMPAS,3,0.2,0.8,TreeEnsembleQBCFunction,TreeFarmsFunction,1,100,0.01,Adder,0.05,Classification,largemem,2-11:59:00,200G,3CP_UA0.05,COMPAS/TreeFarms/Raw/3CP_UA0.05.pkl
COMPAS,4,0.2,0.8,TreeEnsembleQBCFunction,TreeFarmsFunction,0,100,0.01,Adder,0.05,Classification,largemem,2-11:59:00,200G,4CP_DA0.05,COMPAS/TreeFarms/Raw/4CP_DA0.05.pkl
COMPAS,4,0.2,0.8,TreeEnsembleQBCFunction,TreeFarmsFunction,1,100,0.01,Adder,0.05,Classification,largemem,2-11:59:00,200G,4CP_UA0.05,COMPAS/TreeFarms/Raw/4CP_UA0.05.pkl
