Seed,Data,TestProportion,CandidateProportion,SelectorType,ModelType,DataArgs,SelectorArgs,ModelArgs,JobName,Output
0,SomeData,0.2,0.8,TreeEnsembleQBCFunction,RandomForestClassificationFunction,"'{""N"": 1000, ""K"": 5}'","'{""UniqueErrorsInput"": True}'","'{""n_estimators"": 100, ""Seed"": 1, ""TopCModels"": 100, ""config"": {""regularization"": 0.01, ""rashomon_bound_multiplier"": 0.05}, ""Type"": ""Classification""}'",Seed0_DataSomeData_TP0.2_CP0.8_STTreeEnsembleQBC_MTRandomForestClassification_UEITrueRashomonNumN/A,SomeData/RandomForestClassification/Raw/Seed0_DataSomeData_TP0.2_CP0.8_STTreeEnsembleQBC_MTRandomForestClassification_UEITrueRashomonNumN/A.pkl
0,SomeData,0.2,0.8,TreeEnsembleQBCFunction,RandomForestClassificationFunction,"'{""N"": 1000, ""K"": 5}'","'{""UniqueErrorsInput"": True}'","'{""n_estimators"": 250, ""Seed"": 1, ""TopCModels"": 250, ""config"": {""regularization"": 0.01, ""rashomon_bound_multiplier"": 0.05}, ""Type"": ""Classification""}'",Seed0_DataSomeData_TP0.2_CP0.8_STTreeEnsembleQBC_MTRandomForestClassification_UEITrueRashomonNumN/A,SomeData/RandomForestClassification/Raw/Seed0_DataSomeData_TP0.2_CP0.8_STTreeEnsembleQBC_MTRandomForestClassification_UEITrueRashomonNumN/A.pkl
0,SomeData,0.2,0.8,TreeEnsembleQBCFunction,TreeFarmsFunction,"'{""N"": 1000, ""K"": 5}'","'{""TopCModels"": 100, ""UniqueErrorsInput"": True}'","'{""n_estimators"": 100, ""Seed"": 1, ""TopCModels"": 100, ""config"": {""regularization"": 0.01, ""rashomon_bound_multiplier"": 0.05}, ""Type"": ""Classification""}'",Seed0_DataSomeData_TP0.2_CP0.8_STTreeEnsembleQBC_MTTreeFarms_UEITrueRashomonNum100,SomeData/TreeFarms/Raw/Seed0_DataSomeData_TP0.2_CP0.8_STTreeEnsembleQBC_MTTreeFarms_UEITrueRashomonNum100.pkl
0,SomeData,0.2,0.8,TreeEnsembleQBCFunction,TreeFarmsFunction,"'{""N"": 1000, ""K"": 5}'","'{""TopCModels"": 100, ""UniqueErrorsInput"": False}'","'{""n_estimators"": 100, ""Seed"": 1, ""TopCModels"": 100, ""config"": {""regularization"": 0.01, ""rashomon_bound_multiplier"": 0.05}, ""Type"": ""Classification""}'",Seed0_DataSomeData_TP0.2_CP0.8_STTreeEnsembleQBC_MTTreeFarms_UEIFalseRashomonNum100,SomeData/TreeFarms/Raw/Seed0_DataSomeData_TP0.2_CP0.8_STTreeEnsembleQBC_MTTreeFarms_UEIFalseRashomonNum100.pkl
0,SomeData,0.2,0.8,PassiveLearning,RandomForestClassificationFunction,"'{""N"": 1000, ""K"": 5}'","'{""UniqueErrorsInput"": True}'","'{""n_estimators"": 100, ""Seed"": 1, ""TopCModels"": 100, ""config"": {""regularization"": 0.01, ""rashomon_bound_multiplier"": 0.05}, ""Type"": ""Classification""}'",Seed0_DataSomeData_TP0.2_CP0.8_STPassiveLearning_MTRandomForestClassification_UEITrueRashomonNumN/A,SomeData/RandomForestClassification/Raw/Seed0_DataSomeData_TP0.2_CP0.8_STPassiveLearning_MTRandomForestClassification_UEITrueRashomonNumN/A.pkl
0,SomeData,0.2,0.8,PassiveLearning,RandomForestClassificationFunction,"'{""N"": 1000, ""K"": 5}'","'{""UniqueErrorsInput"": True}'","'{""n_estimators"": 250, ""Seed"": 1, ""TopCModels"": 250, ""config"": {""regularization"": 0.01, ""rashomon_bound_multiplier"": 0.05}, ""Type"": ""Classification""}'",Seed0_DataSomeData_TP0.2_CP0.8_STPassiveLearning_MTRandomForestClassification_UEITrueRashomonNumN/A,SomeData/RandomForestClassification/Raw/Seed0_DataSomeData_TP0.2_CP0.8_STPassiveLearning_MTRandomForestClassification_UEITrueRashomonNumN/A.pkl
0,SomeData,0.2,0.8,PassiveLearning,TreeFarmsFunction,"'{""N"": 1000, ""K"": 5}'","'{""TopCModels"": 100, ""UniqueErrorsInput"": True}'","'{""n_estimators"": 100, ""Seed"": 1, ""TopCModels"": 100, ""config"": {""regularization"": 0.01, ""rashomon_bound_multiplier"": 0.05}, ""Type"": ""Classification""}'",Seed0_DataSomeData_TP0.2_CP0.8_STPassiveLearning_MTTreeFarms_UEITrueRashomonNum100,SomeData/TreeFarms/Raw/Seed0_DataSomeData_TP0.2_CP0.8_STPassiveLearning_MTTreeFarms_UEITrueRashomonNum100.pkl
0,SomeData,0.2,0.8,PassiveLearning,TreeFarmsFunction,"'{""N"": 1000, ""K"": 5}'","'{""TopCModels"": 100, ""UniqueErrorsInput"": False}'","'{""n_estimators"": 100, ""Seed"": 1, ""TopCModels"": 100, ""config"": {""regularization"": 0.01, ""rashomon_bound_multiplier"": 0.05}, ""Type"": ""Classification""}'",Seed0_DataSomeData_TP0.2_CP0.8_STPassiveLearning_MTTreeFarms_UEIFalseRashomonNum100,SomeData/TreeFarms/Raw/Seed0_DataSomeData_TP0.2_CP0.8_STPassiveLearning_MTTreeFarms_UEIFalseRashomonNum100.pkl
1,SomeData,0.2,0.8,TreeEnsembleQBCFunction,RandomForestClassificationFunction,"'{""N"": 1000, ""K"": 5}'","'{""UniqueErrorsInput"": True}'","'{""n_estimators"": 100, ""Seed"": 1, ""TopCModels"": 100, ""config"": {""regularization"": 0.01, ""rashomon_bound_multiplier"": 0.05}, ""Type"": ""Classification""}'",Seed1_DataSomeData_TP0.2_CP0.8_STTreeEnsembleQBC_MTRandomForestClassification_UEITrueRashomonNumN/A,SomeData/RandomForestClassification/Raw/Seed1_DataSomeData_TP0.2_CP0.8_STTreeEnsembleQBC_MTRandomForestClassification_UEITrueRashomonNumN/A.pkl
1,SomeData,0.2,0.8,TreeEnsembleQBCFunction,RandomForestClassificationFunction,"'{""N"": 1000, ""K"": 5}'","'{""UniqueErrorsInput"": True}'","'{""n_estimators"": 250, ""Seed"": 1, ""TopCModels"": 250, ""config"": {""regularization"": 0.01, ""rashomon_bound_multiplier"": 0.05}, ""Type"": ""Classification""}'",Seed1_DataSomeData_TP0.2_CP0.8_STTreeEnsembleQBC_MTRandomForestClassification_UEITrueRashomonNumN/A,SomeData/RandomForestClassification/Raw/Seed1_DataSomeData_TP0.2_CP0.8_STTreeEnsembleQBC_MTRandomForestClassification_UEITrueRashomonNumN/A.pkl
