"","seed","ModelType","SelectorType","N","K","CovCorrVal","NBins","TestProportion","SelectorN","InitialN","reg","theta","RashomonModelNumLimit","LabelName","JobName","Output"
"1",1,"Linear","Random",500,3,0,4,0.2,1,10,0.1,2,10,"Y","Sim_1_Linear_Random_500_3_0_4_0.2_1_10_0.1_2_10_Y","Results/Vanilla/1_Linear_Random_500_3_0_4_0.2_1_10_0.1_2_10_.RData"
"2",2,"Linear","Random",500,3,0,4,0.2,1,10,0.1,2,10,"Y","Sim_2_Linear_Random_500_3_0_4_0.2_1_10_0.1_2_10_Y","Results/Vanilla/2_Linear_Random_500_3_0_4_0.2_1_10_0.1_2_10_.RData"
"3",3,"Linear","Random",500,3,0,4,0.2,1,10,0.1,2,10,"Y","Sim_3_Linear_Random_500_3_0_4_0.2_1_10_0.1_2_10_Y","Results/Vanilla/3_Linear_Random_500_3_0_4_0.2_1_10_0.1_2_10_.RData"
"4",4,"Linear","Random",500,3,0,4,0.2,1,10,0.1,2,10,"Y","Sim_4_Linear_Random_500_3_0_4_0.2_1_10_0.1_2_10_Y","Results/Vanilla/4_Linear_Random_500_3_0_4_0.2_1_10_0.1_2_10_.RData"
"5",5,"Linear","Random",500,3,0,4,0.2,1,10,0.1,2,10,"Y","Sim_5_Linear_Random_500_3_0_4_0.2_1_10_0.1_2_10_Y","Results/Vanilla/5_Linear_Random_500_3_0_4_0.2_1_10_0.1_2_10_.RData"
"6",6,"Linear","Random",500,3,0,4,0.2,1,10,0.1,2,10,"Y","Sim_6_Linear_Random_500_3_0_4_0.2_1_10_0.1_2_10_Y","Results/Vanilla/6_Linear_Random_500_3_0_4_0.2_1_10_0.1_2_10_.RData"
"7",7,"Linear","Random",500,3,0,4,0.2,1,10,0.1,2,10,"Y","Sim_7_Linear_Random_500_3_0_4_0.2_1_10_0.1_2_10_Y","Results/Vanilla/7_Linear_Random_500_3_0_4_0.2_1_10_0.1_2_10_.RData"
"8",8,"Linear","Random",500,3,0,4,0.2,1,10,0.1,2,10,"Y","Sim_8_Linear_Random_500_3_0_4_0.2_1_10_0.1_2_10_Y","Results/Vanilla/8_Linear_Random_500_3_0_4_0.2_1_10_0.1_2_10_.RData"
"9",9,"Linear","Random",500,3,0,4,0.2,1,10,0.1,2,10,"Y","Sim_9_Linear_Random_500_3_0_4_0.2_1_10_0.1_2_10_Y","Results/Vanilla/9_Linear_Random_500_3_0_4_0.2_1_10_0.1_2_10_.RData"
"10",10,"Linear","Random",500,3,0,4,0.2,1,10,0.1,2,10,"Y","Sim_10_Linear_Random_500_3_0_4_0.2_1_10_0.1_2_10_Y","Results/Vanilla/10_Linear_Random_500_3_0_4_0.2_1_10_0.1_2_10_.RData"
"11",11,"Linear","Random",500,3,0,4,0.2,1,10,0.1,2,10,"Y","Sim_11_Linear_Random_500_3_0_4_0.2_1_10_0.1_2_10_Y","Results/Vanilla/11_Linear_Random_500_3_0_4_0.2_1_10_0.1_2_10_.RData"
"12",12,"Linear","Random",500,3,0,4,0.2,1,10,0.1,2,10,"Y","Sim_12_Linear_Random_500_3_0_4_0.2_1_10_0.1_2_10_Y","Results/Vanilla/12_Linear_Random_500_3_0_4_0.2_1_10_0.1_2_10_.RData"
"13",13,"Linear","Random",500,3,0,4,0.2,1,10,0.1,2,10,"Y","Sim_13_Linear_Random_500_3_0_4_0.2_1_10_0.1_2_10_Y","Results/Vanilla/13_Linear_Random_500_3_0_4_0.2_1_10_0.1_2_10_.RData"
"14",14,"Linear","Random",500,3,0,4,0.2,1,10,0.1,2,10,"Y","Sim_14_Linear_Random_500_3_0_4_0.2_1_10_0.1_2_10_Y","Results/Vanilla/14_Linear_Random_500_3_0_4_0.2_1_10_0.1_2_10_.RData"
"15",15,"Linear","Random",500,3,0,4,0.2,1,10,0.1,2,10,"Y","Sim_15_Linear_Random_500_3_0_4_0.2_1_10_0.1_2_10_Y","Results/Vanilla/15_Linear_Random_500_3_0_4_0.2_1_10_0.1_2_10_.RData"
